score_id,benchmark_type,submitted_date,cpu,gpu,score,fps,resolution,duration_ms,os,driver,url
2560754,FurMark (GL),,12th Gen Intel(R) Core(TM) i3-12100,Radeon RX 580 Series,3572,59,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2560754
2560747,FurMark (GL),,AMD Ryzen 5 5500,AMD Radeon RX 580 2048SP,3424,56,1920x1080,60000,Windows 11 build 26100,,https://gpumagick.com/scores/2560747
2560620,FurMark (GL),,Intel(R) Core(TM) i3-4170 CPU @ 3.70GHz,Radeon RX 580 Series,3723,61,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2560620
2560592,FurMark (GL),,Intel(R) Core(TM) i7-8700K CPU @ 3.70GHz,Radeon RX 580 Series,3000,48,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2560592
2560560,FurMark (GL),,12th Gen Intel(R) Core(TM) i3-12100,AMD Radeon RX 580 2048SP,2878,47,1920x1080,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2560560
2560533,FurMark (GL),,Intel(R) Core(TM)2 Quad  CPU   Q8200  @ 2.33GHz,Radeon RX 580 Series,3819,63,1920x1080,60000,Windows 7 build 7601,,https://gpumagick.com/scores/2560533
2560518,FurMark (GL),,AMD Ryzen 5 5500,AMD Radeon RX 580 2048SP,3112,51,1920x1080,60000,Windows 10 build 19044,,https://gpumagick.com/scores/2560518
2560483,FurMark (GL),,AMD Ryzen 5 5500,AMD Radeon RX 580 2048SP,1709,28,3440x1440,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2560483
2560400,FurMark (GL),,Intel(R) Core(TM) i5-2300 CPU @ 2.80GHz,Radeon RX 580 Series,3959,65,1920x1080,60000,Windows 11 build 22000,,https://gpumagick.com/scores/2560400
2560324,FurMark (GL),,AMD Ryzen 7 5700X3D 8-Core Processor,Radeon RX 580 Series,3124,52,1920x1080,60000,Windows 11 build 26100,,https://gpumagick.com/scores/2560324
2560284,FurMark (GL),,Intel(R) Core(TM) i5 CPU         750  @ 2.67GHz,Radeon RX 580 Series,3813,63,1920x1080,60000,Windows 11 build 26100,,https://gpumagick.com/scores/2560284
2560240,FurMark (GL),,Intel(R) Core(TM) i5-4460  CPU @ 3.20GHz,Radeon RX 580 Series,3648,60,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2560240
2560227,FurMark (GL),,Intel(R) Core(TM) i7-10700K CPU @ 3.80GHz,Radeon RX 580 Series,4121,68,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2560227
2560226,FurMark (GL),,Intel(R) Core(TM) i5-4460  CPU @ 3.20GHz,Radeon RX 580 Series,3703,61,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2560226
2560169,FurMark (GL),,Intel(R) Xeon(R) CPU E5-2689 0 @ 2.60GHz,AMD Radeon RX 580 Series (radeonsi polaris10 ACO DRM 3.64 6.19.11-200.fc43.x86_64),4301,71,1920x1080,60000,Linux 6.19.11-200.fc43.x86_64 64-bit,,https://gpumagick.com/scores/2560169
2560164,FurMark (GL),,Intel(R) Xeon(R) CPU E5-2689 0 @ 2.60GHz,AMD Radeon RX 580 2048SP,3023,50,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2560164
2560151,FurMark (GL),,Intel(R) Core(TM) i7-4790 CPU @ 3.60GHz,AMD Radeon RX 580 2048SP,3351,55,1920x1080,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2560151
2560046,FurMark (GL),,AMD Ryzen 5 3400G with Radeon Vega Graphics,AMD Radeon RX 580 2048SP,2819,46,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2560046
2560011,FurMark (GL),,12th Gen Intel(R) Core(TM) i5-12400F,Radeon RX 580 Series,3784,63,1920x1080,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2560011
2560001,FurMark (GL),,Intel(R) Xeon(R) CPU E5-2680 v2 @ 2.80GHz,AMD Radeon RX 580 2048SP,3435,57,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2560001
2559968,FurMark (GL),,AMD Ryzen 3 4100 4-Core Processor,AMD Radeon RX 580 2048SP,3329,55,1920x1080,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2559968
2559967,FurMark (GL),,AMD Ryzen 5 3600 6-Core Processor,Radeon RX 580 Series,3824,63,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2559967
2559923,FurMark (GL),,AMD Ryzen 5 5500,Radeon RX 580 Series,3819,63,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2559923
2559930,FurMark (GL),,AMD Ryzen 5 5500,Radeon RX 580 Series,3779,62,1920x1080,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2559930
2559927,FurMark (GL),,AMD Ryzen 5 5500,Radeon RX 580 Series,3802,63,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2559927
2559879,FurMark (GL),,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,AMD Radeon RX 580 2048SP,2841,47,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2559879
2559832,FurMark (GL),,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,Radeon RX 580 Series,3019,49,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2559832
2559821,FurMark (GL),,AMD Ryzen 7 8700G w/ Radeon 780M Graphics,Radeon RX 580 Series,3835,63,1920x1080,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2559821
2559741,FurMark (GL),,Intel(R) Core(TM) i5-2400 CPU @ 3.10GHz,AMD Radeon RX 580 2048SP,3671,61,1920x1080,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2559741
2559653,FurMark (GL),,Intel(R) Xeon(R) CPU E3-1245 v5 @ 3.50GHz,Radeon RX 580 Series,3681,61,1920x1080,60000,Windows 10 build 19044,,https://gpumagick.com/scores/2559653
2559655,FurMark (GL),,AMD Ryzen 5 1600X Six-Core Processor,Radeon RX 580 Series,3767,62,1920x1080,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2559655
2559654,FurMark (GL),,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,AMD Radeon RX 580 2048SP,3072,51,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2559654
2559647,FurMark (GL),,Intel(R) Xeon(R) CPU E3-1245 v5 @ 3.50GHz,Radeon RX 580 Series,3416,56,1920x1080,60000,Windows 10 build 19044,,https://gpumagick.com/scores/2559647
2559635,FurMark (GL),,AMD Ryzen 5 5500,Radeon RX 580 Series,3876,64,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2559635
2559625,FurMark (GL),,Intel(R) Core(TM) i7-3770 CPU @ 3.40GHz,Radeon RX 580 Series,1375,22,3840x2160,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2559625
2559613,FurMark (GL),,Intel(R) Core(TM) i7-3770 CPU @ 3.40GHz,Radeon RX 580 Series,3852,63,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2559613
2559587,FurMark (GL),,Intel(R) Xeon(R) CPU           X3470  @ 2.93GHz,AMD Radeon RX 580 2048SP,2970,49,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2559587
