score_id,benchmark_type,submitted_date,cpu,gpu,score,fps,resolution,duration_ms,os,driver,url
2589248,FurMark (GL),,Intel(R) Core(TM) i3-9100F CPU @ 3.60GHz,Radeon RX 580 Series,3527,58,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2589248
2589228,FurMark (GL),,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,Radeon RX 580 Series,4138,68,1920x1080,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2589228
2589138,FurMark (GL),,Intel(R) Xeon(R) CPU E5-2670 v2 @ 2.50GHz,Radeon RX 580 Series,4062,67,1920x1080,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2589138
2588963,FurMark (GL),,AMD Ryzen 5 5500,AMD Radeon RX 580 2048SP,3269,54,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2588963
2588768,FurMark (GL),,AMD Ryzen 5 1500X Quad-Core Processor,Radeon RX 580 Series,3682,61,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2588768
2588488,FurMark (GL),,Intel(R) Core(TM) i3-10100F CPU @ 3.60GHz,Radeon RX 580 Series,3837,63,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2588488
2587958,FurMark (GL),,Intel(R) Core(TM) i3-6100 CPU @ 3.70GHz,Radeon RX 580 Series,3833,63,1920x1080,60000,Windows 11 build 26100,,https://gpumagick.com/scores/2587958
2587923,FurMark (GL),,AMD Ryzen 5 7500F 6-Core Processor,Radeon RX 580 Series,3546,58,1920x1080,60000,Windows 11 build 22621,,https://gpumagick.com/scores/2587923
2587813,FurMark (GL),,AMD Phenom(tm) II X2 565 Processor,AMD Radeon RX 580 Series (radeonsi polaris10 ACO DRM 3.61 6.14.0-37-generic),3290,55,1920x1080,60000,Linux 6.14.0-37-generic 64-bit,,https://gpumagick.com/scores/2587813
2587783,FurMark (GL),,Intel(R) Core(TM) i5-4460  CPU @ 3.20GHz,Radeon RX 580 Series,3459,57,1920x1080,60000,Windows 11 build 26100,,https://gpumagick.com/scores/2587783
2587718,FurMark (GL),,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,AMD Radeon RX 580 2048SP,3539,58,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2587718
2587248,FurMark (GL),,AMD Ryzen 5 5500,AMD Radeon RX 580 2048SP,3509,58,1920x1080,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2587248
2586823,FurMark (GL),,Intel(R) Xeon(R) CPU E5-2650 v2 @ 2.60GHz,AMD Radeon RX 580 2048SP,3219,53,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2586823
2586713,FurMark (GL),,Intel(R) Xeon(R) CPU E5-2670 v3 @ 2.30GHz,AMD Radeon RX 580 2048SP,2488,41,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2586713
2586603,FurMark (GL),,AMD Ryzen 5 2600 Six-Core Processor,AMD Radeon RX 580 2048SP,2903,48,1920x1080,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2586603
2586418,FurMark (GL),,AMD Ryzen 5 5600 6-Core Processor,AMD Radeon RX 580 2048SP,3514,58,1920x1080,60000,Windows 10 build 19045,,https://gpumagick.com/scores/2586418
2586233,FurMark (GL),,Intel(R) Xeon(R) CPU E5-2699 v3 @ 2.30GHz,Radeon RX 580 Series,3615,60,1920x1080,60000,Windows 11 build 26200,,https://gpumagick.com/scores/2586233
